index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
22,Alabama,23,169900,169900,169500,165000,167167,165000,164900,159950,164900,159900,158900,155000,152500,150000,155000,159000,159000,159900,159900,159000,157000,154900,149900,149900,149900,149900,149900,149500,144500,149000,149900,149900,149000,149900,159900,159900,159900,159900,161900,165000,167500,167900,167900,166500,167000,165112.5,164900,164900,163900,167000,169900,169900,173000,174900,174850,171900,169900,169900,169900,165000,169900,169900,171000,175000,174900,174900,174500,173000,175000,174000,173000,171900,170000,169900,174000,177500,178000,179000,178000,175900,175000,174900,175000,174900,174900,178400,179999.5,189900,189900,189900,190000,189900,193900
23,South Carolina,24,189000,185000,182000,179900,178500,175900,174900,174900,179900,175000,171900,169900,167000,164691.5,168098,168000,168500,169350,165000,159000,154000,149900,135900,149867.5,145000,148900,149900,148467,149000,148900,146500,145000,143000,145000,168900,168990,169500,169900,173264,175000,175000,179000,179000,179500,179500,179900,179000,179900,179900,181453.5,185000,187900,189900,189900,189900,189000,189900,190000,192990,191900,190000,194900,195000,199900,200868,199900,207990,204000,208500,208280,209900,210040,212990,215000,219000,219900,219900,222900,224537.5,219900,219900,219900,219900,219000,218990,220000,225000,229781,230000,233400,234900,234900,239000
24,Louisiana,25,172900,170000,170000,171181,169900,169900,169900,169900,172000,168500,165000,163500,156600,154900,159500,159900,160000,159900,159000,157200,155000,150000,149900,149000,149000,149500,149900,149900,149900,150000,150000,149900,149600,149900,160000,159900,162000,162500,165000,169000,169800,169900,169500,168000,168000,167950,165000,165000,164500,165000,165000,169000,170000,171900,170000,175000,175000,175000,176000,175000,175500,179000,179900,180000,184500,184900,184900,184900,185000,184900,185000,185000,187800,189900,194500,199000,199500,199500,199500,199000,198500,199000,197500,197500,195000,194900,198375,200000,205947,205900,205500,204000,204000
25,Kentucky,26,149900,149760,148999.5,149000,149000,149000,148000,145900,147900,144900,140000,139900,136500,136500,139500,139900,142000,139900,139900,139000,137500,134900,130000,129000,127000,128900,129900,129900,129900,129900,129425,128500,124900,124900,139500,138900,138000,138900,139900,139900,140000,139946,139900,139900,139900,139900,139000,139000,137900,139900,140000,145000,148500,149900,149900,149529,149900,149900,149000,148000,148000,149900,149900,151900,157829,158900,158900,158500,159000,156500,155000,152000,150000,149999.5,154500,159500,159900,162900,164900,159900,159900,159900,159900,159900,159000,159900,165000,169900,173916,172900,173500,170000,169900
26,Oregon,27,225562.5,224900,224900,219900,217000,219900,219900,219900,224500,209000,199000,190000,180000,180000,194000,187900,189500,189999,195000,198620,195000,188500,178000,169900,174900,175900,179999,185000,185000,189900,190000,200000,209000,215000,229000,229000,229900,235000,239500,249000,250000,259000,259500,258000,257650,257000,252900,249947,249900,250000,255000,263000,259900,268900,270000,269900,269000,265000,264900,259900,260000,265000,270000,275000,279900,285000,285000,287000,289049.5,289900,289900,289000,289000,289900,299000,300000,315000,319900,324900,324900,325000,325000,324900,322000,320000,325000,329900,340000,349900,353500,357000,350000,352000
27,Oklahoma,28,139900,139900,139500,136756,136350,137500,135000,134900,139000,138500,139500,135825,132000,129900,134900,135000,135000,135000,134000,130000,129900,127000,124900,123518,120000,124900,128000,124900,128900,129900,125000,124000,119900,119900,139900,139600,139500,140000,140010,144500,145000,146000,144900,144500,144900,145000,144900,145000,144900,145900,147800,149900,150000,151435,152495,154000,153000,150000,153628.5,149900,154900,157500,159000,159900,160000,161500,162500,162000,164252,162500,163900,163000,164900,162676,165000,169000,169900,171002,171464,170000,170000,169900,170000,172500,169999,169900,172500,175000,178738,179900,179900,179000,179900
28,Connecticut,29,,,284900,279900,279900,279999,279000,279000,279900,279900,279000,269900,269900,274000,279000,279900,285000,285000,279900,276450,274900,269000,265000,259900,259000,264900,265900,269900,274900,274900,269900,264900,265000,260000,263450,259000,256700,264900,269900,279900,285000,284900,279900,274000,269900,269900,265000,260000,259900,264900,269900,279900,280000,284900,279900,274900,274900,274900,269000,259900,264900,269900,275000,284500,285000,289000,289000,279900,284900,279900,279500,274900,274900,279900,289000,295000,299000,299900,299000,290000,290000,289900,289900,285000,284900,289900,299000,309000,315000,315000,314000,304900,309900
29,Iowa,30,136900,138200,139900,139900,139900,139500,139000,138000,137500,136450,132900,129900,127500,125000,129900,130000,134000,134900,132500,130000,129500,129000,125500,121000,121500,124900,125900,127900,128775,128000,127000,125000,124900,124900,129900,129500,129900,129900,133000,135000,138000,137900,135000,134900,130000,130000,129900,129900,129900,130000,135000,139500,139900,140000,139900,139900,138900,137500,137500,135000,138500,139900,144000,148000,157000,157500,154900,150000,149900,149500,149000,145110,148000,149900,155000,159900,159900,164000,162900,159900,159900,159900,155000,150000,154900,159900,164900,169900,174900,175000,174500,169900,169000
30,Mississippi,31,154800,154900,150000,152000,152000,150000,149900,149900,149900,149700,149000,145000,144000,139900,146000,149000,149900,149900,149900,149900,149900,147600,143435,139900,140000,140000,143900,141900,139900,139900,139900,139900,139900,139900,148050,145900,149000,149000,149900,149900,150600,153900,154900,151000,153000,150000,149900,149950,149900,149900,152500,155000,156700,158000,157500,157500,156900,155000,154999.5,150000,155000,159000,159900,159900,162500,160000,160000,160000,164900,159900,159000,156625,156135,155000,159000,159900,162000,164900,164900,162500,159900,161450,163900,160000,159999,163000,169000,173000,175000,175000,175000,174900,175000
31,Arkansas,32,142000,142500,139900,139900,139900,141900,140000,139900,143500,140000,139900,138000,133500,129900,135000,137900,139900,139900,139900,142900,140000,140000,140000,139900,139900,142500,139900,137500,139900,141900,143000,143900,139900,139900,144900,142900,142900,144700,144900,146700,147500,147500,145000,144500,144900,140350,139900,139900,139500,139900,139900,141900,143350,145000,145000,145000,145000,145000,144900,144000,144900,147000,149500,149000,152900,154500,155000,153000,150000,150000,149900,149900,149900,149900,150000,150950,155900,156925,158400,155000,154000,152150,149900,149900,149900,150000,155000,159500,159900,160000,164000,161358,164900
32,Kansas,33,149900,149900,150000,150000,149900,149900,147000,145000,145000,143000,139900,135000,130000,129950,135000,139900,140000,140000,139900,139900,138900,135000,132000,129900,129500,129950,134900,137500,134950,129950,125900,124900,119950,119900,129000,125000,125000,129000,130000,134900,135000,135000,135000,135000,134900,133000,130000,129972.5,129900,132000,135000,140000,145000,145000,144900,139900,139500,139000,138000,135600,136700,139000,149900,157900,164900,162500,159900,152750,154900,153000,149900,149000,145000,149900,155000,159900,159900,160000,159900,155000,152000,150000,149900,145000,145000,149900,159900,167500,174000,174900,169900,165900,169900
33,Utah,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,234900,234900,235000,234900,234900,235000,232000,235000,235000,244900,249000,249900,249900,249951,250000,249900,249000,249900,255000,259000,262900,269900,272000,279000,279900,284500,285000,285000,288900,290000,294995,294500,299000,298890,299000,299000,299000,299000,299900,299800,299900,305000,305000,309900,315000,320000,325000,329000,329800,329000,329500
34,Nevada,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,185000,188600,194900,199000,200000,207990,209000,216275,219500,219650,214990,214990,214999,219900,224290,227500,233876.5,234500,235000,238000,239270,239000,239402.5,239000,237000,234888,239900,245000,249900,251650,255000,256945,259900,259900,259999,260000,262900,265000,269900,270000,279000,284999,289900,290000,295000
